Terror_Group,Region,Successful_Attacks,Total_Incidents
Ansar al-Tahwid wal Sunna_Middle East & North Africa,Middle East & North Africa,1,1
Ansar Bayt al-Maqdis (Ansar Jerusalem)_Middle East & North Africa,Middle East & North Africa,66,73
Ansar Ghazwat-ul-Hind_South Asia,South Asia,1,1
Ansar Wa Mohajir (Pakistan)_South Asia,South Asia,2,2
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Ansaru ash-Sharia (Russia)_Eastern Europe,Eastern Europe,1,1
Ansarul Islam (Pakistan)_South Asia,South Asia,2,2
Ansarullah Bangla Team_South Asia,South Asia,9,10
Antagonistic Nuclei of the New Urban Guerrilla_South America,South America,0,1
Anti-Abortion extremists_North America,North America,18,23
Anti-Apostate Movement Alliance (AGAP)_Southeast Asia,Southeast Asia,1,1
Anti-Arab extremists_North America,North America,1,1
Anti-Balaka Militia_Sub-Saharan Africa,Sub-Saharan Africa,68,72
Anti-Clerical Pro-Sex Toys Group_Western Europe,Western Europe,2,2
Anti-Communist Command (KAK)_Southeast Asia,Southeast Asia,1,1
Anti-Democratic Struggle_Western Europe,Western Europe,2,2
Anti-Gentrification Front_North America,North America,1,1
Anti-Government extremists_South Asia,South Asia,1,1
Anti-Government extremists_Eastern Europe,Eastern Europe,2,2
Anti-Government extremists_South America,South America,1,2
Anti-Government extremists_North America,North America,21,33
Anti-Government extremists_Australasia & Oceania,Australasia & Oceania,2,2
Anti-Government Group_Middle East & North Africa,Middle East & North Africa,1,1
Anti-Government Guerrillas_South Asia,South Asia,12,12
Anti-Gun Control extremists_North America,North America,0,3
Anti-Immigrant extremists_Eastern Europe,Eastern Europe,3,3
Anti-Immigrant extremists_Western Europe,Western Europe,3,5
Anti-Imperialist Territorial Nuclei (NTA)_Western Europe,Western Europe,2,2
Anti-Independence extremists_Western Europe,Western Europe,1,1
Anti-Israeli extremists_North America,North America,1,1
Anti-Kim Jong-il extremists_North America,North America,1,1
Anti-LGBT extremists_North America,North America,4,4
Anti-Liberal extremists_North America,North America,1,1
Anti-Muslim extremists_South Asia,South Asia,30,30
Anti-Muslim extremists_Eastern Europe,Eastern Europe,1,1
Anti-Muslim extremists_Western Europe,Western Europe,15,17
Anti-Muslim extremists_North America,North America,29,29
Anti-Police extremists_North America,North America,7,7
Anti-Republican extremists_North America,North America,0,1
Anti-Semitic extremists_Eastern Europe,Eastern Europe,2,2
Anti-Semitic extremists_South America,South America,1,1
Anti-Semitic extremists_Western Europe,Western Europe,9,12
Anti-Semitic extremists_North America,North America,6,7
Anti-Sikh extremists_North America,North America,1,1
Anti-State Justice_Western Europe,Western Europe,5,5
Anti-Trump extremists_North America,North America,0,1
Anti-United States extremists_South Asia,South Asia,2,2
Anti-United States extremists_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Anti-United States extremists_North America,North America,0,1
Anti-White extremists_North America,North America,6,6
Anti-Yanukovych extremists_Eastern Europe,Eastern Europe,0,1
Apella_Western Europe,Western Europe,1,1
Aqmur_Middle East & North Africa,Middle East & North Africa,1,1
Arab Movement of Azawad (MAA)_Sub-Saharan Africa,Sub-Saharan Africa,5,7
Arab People's Group_Middle East & North Africa,Middle East & North Africa,1,1
Arab Socialist Baath Party of Iraq_Middle East & North Africa,Middle East & North Africa,1,1
Arab-Israeli extremists_Middle East & North Africa,Middle East & North Africa,2,2
Arakan Army (AA)_South Asia,South Asia,1,1
Arakan Army (AA)_Southeast Asia,Southeast Asia,0,1
Arakan Liberation Party (ALP)_South Asia,South Asia,2,2
Arakan Rohingya Salvation Army (ARSA)_Southeast Asia,Southeast Asia,45,46
Arauco Malleco Coordinating Group (CAM) - Chile_South America,South America,4,4
Arbav Martyrs of Khuzestan_Middle East & North Africa,Middle East & North Africa,1,1
Arm na Poblachta' (Army of the Republic)_Western Europe,Western Europe,0,1
Armata Corsa_Western Europe,Western Europe,3,3
Armata di Liberazione Naziunale (ALN)_Middle East & North Africa,Middle East & North Africa,1,1
Armed Forces of the Chechen Republic of Ichkeria_Eastern Europe,Eastern Europe,12,12
Armed Group for the Defence of the People_Western Europe,Western Europe,0,2
Armed Islamic Group (GIA)_Middle East & North Africa,Middle East & North Africa,81,82
Armed People_Middle East & North Africa,Middle East & North Africa,1,1
Armed People_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Armed Revolutionary Action (ENEDRA)_Western Europe,Western Europe,1,2
Armed Revolutionary Left (IRA)_South America,South America,1,2
Armed Vanguards of a Second Mohammed Army_Middle East & North Africa,Middle East & North Africa,1,1
Armenian extremists_Eastern Europe,Eastern Europe,1,1
Army of Islam_Middle East & North Africa,Middle East & North Africa,3,3
Army of State Liberators_Middle East & North Africa,Middle East & North Africa,1,1
Army of the Republic of Ilirida_Eastern Europe,Eastern Europe,1,2
Army of the Tribes_Middle East & North Africa,Middle East & North Africa,3,3
Asa'ib Ahl al-Haqq_Middle East & North Africa,Middle East & North Africa,66,67
Asbat al-Ansar_Middle East & North Africa,Middle East & North Africa,2,2
Association Totalement Anti-Guerre (ATAG)_Western Europe,Western Europe,1,1
Athens and Thessaloniki Arsonist Nuclei_Western Europe,Western Europe,8,8
Attack Teams for the Dissolution of the Nation (Greece)_Western Europe,Western Europe,3,3
Authenticity and Development Front_Middle East & North Africa,Middle East & North Africa,1,1
Autonomous Decorators_Western Europe,Western Europe,0,1
Avengers of the Infants_Middle East & North Africa,Middle East & North Africa,2,2
Awami League_South Asia,South Asia,21,21
Awdal Regional Administration Army (ARAA)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Ayesha bint al-Sadiq Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Azawad National Liberation Movement (MNLA)_Sub-Saharan Africa,Sub-Saharan Africa,25,27
Baathist extremists_Middle East & North Africa,Middle East & North Africa,3,3
Bab Tajura Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Baba Ladla Gang_South Asia,South Asia,1,2
Babbar Khalsa International (BKI)_South Asia,South Asia,2,2
Babbar Khalsa International (BKI)_Western Europe,Western Europe,0,1
Baby Liberation Army_North America,North America,0,1
Bachama extremists_Sub-Saharan Africa,Sub-Saharan Africa,4,4
Badr Brigades_Middle East & North Africa,Middle East & North Africa,3,3
Bahoz_Western Europe,Western Europe,1,1
Bahrain Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,2,2
Balakhani Group_Eastern Europe,Eastern Europe,1,1
Baloch Liberation Army (BLA)_South Asia,South Asia,174,181
Baloch Liberation Front (BLF)_South Asia,South Asia,166,185
Baloch Liberation Tigers (BLT)_South Asia,South Asia,8,8
Baloch Militant Defense Army_South Asia,South Asia,1,1
Baloch Mussalah Diffah Tanzim (BMDT)_South Asia,South Asia,1,1
Baloch National Liberation Front_South Asia,South Asia,2,2
Baloch Nationalists_Middle East & North Africa,Middle East & North Africa,3,3
Baloch Nationalists_South Asia,South Asia,29,31
Baloch Republican Army (BRA)_South Asia,South Asia,290,312
Baloch Republican Guards (BRG)_South Asia,South Asia,8,8
Baloch Republican Party_South Asia,South Asia,2,2
Baloch Waja Liberation Army (BWLA)_South Asia,South Asia,5,5
Baloch Young Tigers (BYT)_South Asia,South Asia,3,3
Balochistan Liberation United Front (BLUF)_South Asia,South Asia,26,28
Balochistan National Army_South Asia,South Asia,1,1
Bandits_South Asia,South Asia,2,2
Bandits_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Bangalee Somo Odhikar Andolon_South Asia,South Asia,1,1
Bangladesh Nationalist Party (BNP)_South Asia,South Asia,46,53
Bangladesh Sarbahara Party_South Asia,South Asia,1,1
Bangladesh Tiger Force_South Asia,South Asia,1,1
Bangsamoro Islamic Freedom Movement (BIFM)_Southeast Asia,Southeast Asia,304,391
Bangsamoro National Liberation Army_Southeast Asia,Southeast Asia,1,1
Banner of Islam_Middle East & North Africa,Middle East & North Africa,1,1
Barak Valley Tiger Force (BVTF)_South Asia,South Asia,1,1
