Terror_Group,Region,Successful_Attacks,Total_Incidents
Ramiro Ledesma Social Centre_Western Europe,Western Europe,2,2
Ramzi Nahra Martyr Organization_Middle East & North Africa,Middle East & North Africa,1,1
Ranbir Sena_South Asia,South Asia,11,11
Random Anarchists_Western Europe,Western Europe,1,1
Rashtriya Swayamsevak Sangh_South Asia,South Asia,7,8
Raskamboni Movement_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Rastas_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Rastriya Janashakti Party (RJP)_South Asia,South Asia,1,1
Real Irish Republican Army (RIRA)_Western Europe,Western Europe,23,37
Real Ulster Freedom Fighters (UFF) - Northern Ireland_Western Europe,Western Europe,2,4
Rebel Military Unit_South America,South America,1,1
Rebel Military Unit_Australasia & Oceania,Australasia & Oceania,1,1
Rebellious Group Lambros Foundas_Western Europe,Western Europe,1,1
Rebels_Middle East & North Africa,Middle East & North Africa,4,4
Rebels_South Asia,South Asia,1,1
Rebels_Sub-Saharan Africa,Sub-Saharan Africa,14,14
Rebels_Southeast Asia,Southeast Asia,1,1
Rebels_Eastern Europe,Eastern Europe,4,4
Rebels_South America,South America,4,4
Red Brigades Fighting Communist Party (BR-PCC)_Western Europe,Western Europe,2,3
Red Brigades Fighting Communist Union (BR-UCC)_Western Europe,Western Europe,1,1
Red Egbesu Water Lions_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Red Hand Defenders (RHD)_Western Europe,Western Europe,11,17
Red Scorpion_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Red Sea Afar Democratic Organization (RSADO)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Republican Action Against Drugs (RAAD)_Western Europe,Western Europe,1,1
Republican Forces of Burundi (FOREBU)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Resistance Cell_Western Europe,Western Europe,1,1
Resistencia Galega_Western Europe,Western Europe,2,3
Resistenza Corsa_Western Europe,Western Europe,3,4
"Return, Reclamation, Rehabilitation (3R)_Sub-Saharan Africa",Sub-Saharan Africa,1,2
Revenge Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Revenge Movement_Eastern Europe,Eastern Europe,1,1
Revenge of the Trees_North America,North America,1,1
Revolutionaries Army (Jaysh al-Thowwar)_Middle East & North Africa,Middle East & North Africa,1,1
Revolutionary Action of Liberation_Western Europe,Western Europe,4,4
Revolutionary Armed Forces of Colombia (FARC)_South America,South America,1097,1236
Revolutionary Armed Forces of Colombia (FARC) dissidents_South America,South America,20,20
Revolutionary Cells (Argentina)_South America,South America,2,2
Revolutionary Cells Network (SRN)_Eastern Europe,Eastern Europe,3,3
Revolutionary Cells-Animal Liberation Brigade_North America,North America,1,2
Revolutionary Communist Centre (RCC)_South Asia,South Asia,1,1
Revolutionary Continuity_Western Europe,Western Europe,1,1
Revolutionary Front_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Revolutionary Headquarters (Turkey)_Middle East & North Africa,Middle East & North Africa,1,1
Revolutionary Insurgent Armed Forces of Ecuador (FAIRE)_South America,South America,1,1
Revolutionary Leninist Brigades_Western Europe,Western Europe,1,1
Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece_Western Europe,Western Europe,3,3
Revolutionary Movement for National Salvation (REMNASA)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Revolutionary Nuclei_Western Europe,Western Europe,4,5
Revolutionary Perspective_Western Europe,Western Europe,5,5
Revolutionary Proletarian Initiative Nuclei (NIPR)_Western Europe,Western Europe,1,2
Revolutionary Punishment Movement_Middle East & North Africa,Middle East & North Africa,10,11
Revolutionary Struggle_Western Europe,Western Europe,20,21
Revolutionary United Front (RUF)_Sub-Saharan Africa,Sub-Saharan Africa,22,22
Revolutionary Violence Units_Western Europe,Western Europe,1,1
Revolution's Brigade_Middle East & North Africa,Middle East & North Africa,3,3
Right Sector_Eastern Europe,Eastern Europe,6,6
Right-Wing Death Squad_South America,South America,2,2
Right-wing extremists_South Asia,South Asia,1,1
Right-wing extremists_Eastern Europe,Eastern Europe,2,2
Right-wing extremists_South America,South America,2,2
Right-wing extremists_Western Europe,Western Europe,17,18
Right-wing extremists_North America,North America,3,3
Right-Wing Group_Sub-Saharan Africa,Sub-Saharan Africa,1,2
Right-Wing Paramilitaries_South America,South America,11,11
Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs_Eastern Europe,Eastern Europe,8,10
Rodolfo Walsh National Command_South America,South America,1,1
Rohingya extremists_South Asia,South Asia,2,2
Rohingya extremists_Southeast Asia,Southeast Asia,18,18
Rohingya Solidarity Organization_Southeast Asia,Southeast Asia,2,2
Rubicon (Rouvikonas)_Western Europe,Western Europe,3,6
Rugovasit Group_Eastern Europe,Eastern Europe,1,2
Runda Kumpulan Kecil (RKK)_Southeast Asia,Southeast Asia,140,150
Russian separatists_Eastern Europe,Eastern Europe,1,1
Russian Unity_Eastern Europe,Eastern Europe,1,1
Sabaot Land Defense Force (SLDF)_Sub-Saharan Africa,Sub-Saharan Africa,5,6
Saif-ul-Muslimeen_South Asia,South Asia,1,1
Salafi Abu-Bakr al-Siddiq Army_Middle East & North Africa,Middle East & North Africa,1,2
Salafi Daawa Group_Middle East & North Africa,Middle East & North Africa,1,1
Salafi Extremists_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Salafia Jihadia_Middle East & North Africa,Middle East & North Africa,5,5
Salafist Group for Preaching and Fighting (GSPC)_Middle East & North Africa,Middle East & North Africa,194,206
Salafist Group for Preaching and Fighting (GSPC)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Samyukta Janatantrik Terai Mukti Morcha (SJTMM)_South Asia,South Asia,5,5
Samyukta Jatiya Mukti Morcha (SJMM)_South Asia,South Asia,10,12
Samyukta Terai Madhes Mukti Party_South Asia,South Asia,1,1
Sanaa Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,26,30
Sanatan Sanstha_South Asia,South Asia,2,2
Sanghiya Limbuwan Committee (SLC)_South Asia,South Asia,1,1
Saraya al-Mukhtar_Middle East & North Africa,Middle East & North Africa,1,1
Saraya Waad Allah_Middle East & North Africa,Middle East & North Africa,3,3
Sardinian Autonomy Movement_Western Europe,Western Europe,1,1
Save Kashmir Movement_South Asia,South Asia,3,3
Sayfullakh_Eastern Europe,Eastern Europe,1,1
Scottish National Liberation Army_Western Europe,Western Europe,0,2
Secessionists_Middle East & North Africa,Middle East & North Africa,3,3
Sect of Revolutionaries (Greece)_Western Europe,Western Europe,3,3
Seleka_Sub-Saharan Africa,Sub-Saharan Africa,33,34
Self-Defense Group of Imghad Tuaregs and Allies (GATIA)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Separatists_Middle East & North Africa,Middle East & North Africa,7,7
Separatists_South Asia,South Asia,34,39
Separatists_Sub-Saharan Africa,Sub-Saharan Africa,13,13
Separatists_Southeast Asia,Southeast Asia,318,331
Separatists_Eastern Europe,Eastern Europe,1,1
Separatists_Western Europe,Western Europe,14,15
Serb Radical Party_Eastern Europe,Eastern Europe,1,1
Ses'khona Peoples' Rights Movement_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Shabelle Valley militia_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Shabwah Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,1,1
Shamil Group_Eastern Europe,Eastern Europe,1,1
Shamiya Front_Middle East & North Africa,Middle East & North Africa,9,9
Shan State Army - North (SSA-N)_Southeast Asia,Southeast Asia,3,3
Shan State Army - South (SSA-S)_Southeast Asia,Southeast Asia,3,3
Shan United Revolutionary Army_Southeast Asia,Southeast Asia,5,5
Sheikh Omar Hadid Brigade_Middle East & North Africa,Middle East & North Africa,2,4
Shia Muslim extremists_Middle East & North Africa,Middle East & North Africa,7,8
Shield of Islam Brigade_Middle East & North Africa,Middle East & North Africa,2,2
Shining Path (SL)_South America,South America,46,54
Shiv Sena_South Asia,South Asia,2,2
Shuar extremists_South America,South America,3,3
Shura Council of Ajdabiya Revolutionaries_Middle East & North Africa,Middle East & North Africa,3,3
Shura Council of Benghazi Revolutionaries_Middle East & North Africa,Middle East & North Africa,17,19
Shura Council of Mujahideen in Derna_Middle East & North Africa,Middle East & North Africa,17,17
Shutdown G20: Take Hamburg offline!_Western Europe,Western Europe,10,10
Sikh Extremists_South Asia,South Asia,1,1
Simon Bolivar Guerrilla Coordinating Board (CGSB)_South America,South America,2,2
Sinai Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,399,445
Sindh Liberation Front_South Asia,South Asia,1,2
Sindh Revolutionary Army_South Asia,South Asia,1,1
Sindhu Desh Liberation Army (SDLA)_South Asia,South Asia,57,57
Sindhudesh Revolutionary Army (SRA)_South Asia,South Asia,17,22
Sinhale Jathika Balamuluwa_South Asia,South Asia,1,1
Sipah-e-Sahaba/Pakistan (SSP)_South Asia,South Asia,6,6
Sipah-I-Mohammed_South Asia,South Asia,5,5
Sisters in Arms_Western Europe,Western Europe,1,1
Skinheads_Eastern Europe,Eastern Europe,2,2
Skinheads_South America,South America,0,1
Solidarity with imprisoned members of Action Directe (AD)_Western Europe,Western Europe,2,2
Somali Islamic Front_Sub-Saharan Africa,Sub-Saharan Africa,3,3
South East Antrim Brigade_Western Europe,Western Europe,1,2
South Group (Russia)_Eastern Europe,Eastern Europe,1,1
South Londonderry Volunteers (SLV)_Western Europe,Western Europe,0,2
South Sudan Armed Forces (SSAF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
South Sudan Democratic Army_Sub-Saharan Africa,Sub-Saharan Africa,2,2
South Sudan Liberation Army (SSLA)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
South Sudanese extremists_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Southern Front_Middle East & North Africa,Middle East & North Africa,29,29
Southern Mobility Movement (Yemen)_Middle East & North Africa,Middle East & North Africa,51,59
Southern Yemen Separatists_Middle East & North Africa,Middle East & North Africa,5,6
Sovereign Citizen_North America,North America,3,4
Special Purpose Islamic Regiment (SPIR)_Eastern Europe,Eastern Europe,3,3
Squadrons of Terror (Katibat El Ahoual)_Middle East & North Africa,Middle East & North Africa,2,2
Strikers_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Student Network of Mandalay_Southeast Asia,Southeast Asia,1,1
Students For Insurrection_North America,North America,1,1
Students Islamic Movement of India (SIMI)_South Asia,South Asia,13,16
Sudan Liberation Army-Minni Minawi (SLA-MM)_Sub-Saharan Africa,Sub-Saharan Africa,10,10
Sudan Liberation Movement_Middle East & North Africa,Middle East & North Africa,1,1
Sudan Liberation Movement_Sub-Saharan Africa,Sub-Saharan Africa,18,19
Sudan People's Liberation Army (SPLA)_Sub-Saharan Africa,Sub-Saharan Africa,23,24
Sudan People's Liberation Movement - North_Sub-Saharan Africa,Sub-Saharan Africa,54,59
Sudan People's Liberation Movement in Opposition (SPLM-IO)_Sub-Saharan Africa,Sub-Saharan Africa,85,101
Sudan Revolutionary Front (SRF)_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Sudanese People's Front_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Sudanese Rebels_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Sudurpaschim Janata Dal_South Asia,South Asia,0,1
Sungu Sungu_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Sunni Muslim extremists_Middle East & North Africa,Middle East & North Africa,12,12
Sunni Muslim extremists_South Asia,South Asia,8,8
Sunni Muslim extremists_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Sunni Muslim extremists_Western Europe,Western Europe,1,1
Sunni Resistance Committees in Lebanon (SRCL)_Middle East & North Africa,Middle East & North Africa,1,1
Sunni Supporters_Middle East & North Africa,Middle East & North Africa,1,1
Supporters of Abd Rabbuh Mansur Hadi_Middle East & North Africa,Middle East & North Africa,15,19
Supporters of Ali Abdullah Saleh_Middle East & North Africa,Middle East & North Africa,2,2
Supporters of General Lino Oviedo_South America,South America,0,1
Supporters of Johnny Adair_Western Europe,Western Europe,1,1
Supporters of Laurent Nkunda_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Supporters of Muhammad Umar Habib_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Supporters of Muse Sudi Yalahow_Sub-Saharan Africa,Sub-Saharan Africa,0,1
Supporters of Saddam Hussein_Middle East & North Africa,Middle East & North Africa,1,1
Supporters of Sultan Abd-al-Bagi_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Supporters of the Islamic State in Jerusalem_Middle East & North Africa,Middle East & North Africa,8,9
Supporters of the Islamic State in the Land of the Two Holy Mosques_Middle East & North Africa,Middle East & North Africa,1,1
Supreme Command for Jihad and Liberation_Middle East & North Africa,Middle East & North Africa,1,2
Supreme Council for Islamic Revolution in Iraq (SCIRI)_Middle East & North Africa,Middle East & North Africa,5,5
Suqour al-Ahvaz_Middle East & North Africa,Middle East & North Africa,3,3
Swatantra Nepal Dal_South Asia,South Asia,1,1
Swaziland Youth Congress (Swayoco)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Sympathizers of Al-Qaida Organization_Middle East & North Africa,Middle East & North Africa,4,4
Syrian Army deserters_Middle East & North Africa,Middle East & North Africa,1,1
Syrian Democratic Forces (SDF)_Middle East & North Africa,Middle East & North Africa,2,2
Syrian Mujahideen_Middle East & North Africa,Middle East & North Africa,1,1
Syrian Social Nationalist Party_Middle East & North Africa,Middle East & North Africa,1,1
Syrian Turkmen Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Ta'ang National Liberation Army (TNLA)_Southeast Asia,Southeast Asia,21,29
Tabu Tribe_Middle East & North Africa,Middle East & North Africa,1,1
Tajamo Ansar al-Islam_Middle East & North Africa,Middle East & North Africa,1,1
Takfir wal-Hijra (Excommunication and Exodus)_Middle East & North Africa,Middle East & North Africa,9,9
Takfir wal-Hijra (Excommunication and Exodus)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Taliban_South Asia,South Asia,6676,7473
Taliban (Pakistan)_South Asia,South Asia,36,38
Tamil Makkal Viduthalai Pulikal (TMVP)_South Asia,South Asia,4,4
Tamil Nadu Liberation Army_South Asia,South Asia,1,4
Tamils_South Asia,South Asia,2,2
Tanzeem al-Islami al-Furqan_South Asia,South Asia,2,2
Tanzim_Middle East & North Africa,Middle East & North Africa,4,5
Tarok Militia_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Tawheed Militia_Middle East & North Africa,Middle East & North Africa,2,2
Tawheedul Islam_South Asia,South Asia,1,1
Tawhid and Jihad_Middle East & North Africa,Middle East & North Africa,45,50
Tawhid and Jihad (Palestine)_Middle East & North Africa,Middle East & North Africa,1,2
Tehama Movement_Middle East & North Africa,Middle East & North Africa,1,1
Tehrik al-Mojahedin_South Asia,South Asia,11,12
Tehrik-e-Galba Islam_South Asia,South Asia,2,2
Tehrik-e-Hurriyat (TeH)_South Asia,South Asia,1,1
Tehrik-e-Khilafat_South Asia,South Asia,12,14
Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)_South Asia,South Asia,5,6
Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade)_South Asia,South Asia,0,1
Tehrik-e-Taliban Islami (TTI)_South Asia,South Asia,2,2
Tehrik-e-Tuhafaz (Pakistan)_South Asia,South Asia,2,2
Tehrik-i-Taliban Pakistan (TTP)_South Asia,South Asia,1267,1350
Tehrik-i-Taliban Pakistan (TTP)_North America,North America,0,1
Tela Mohammed_South Asia,South Asia,1,1
Telangana Separatists_South Asia,South Asia,1,2
Tepi Youth_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Terai Army_South Asia,South Asia,10,10
Terai Cobra_South Asia,South Asia,2,2
Terai Communist Party_South Asia,South Asia,1,2
Terai Janatantrik Madhes Party_South Asia,South Asia,1,1
Terai Janatantrik Party_South Asia,South Asia,1,1
Terai Madheshi Mukti Morcha (TMMM)_South Asia,South Asia,1,1
Terai Rastriya Mukti Sena (TRMS)_South Asia,South Asia,1,1
Terena Indians_South America,South America,2,2
Thadou People's Liberation Army (TPLA)_South Asia,South Asia,1,1
Thai Islamic Militants_Southeast Asia,Southeast Asia,56,58
Thanthai Periyar Dravidar Kazhagam (TPDK)_South Asia,South Asia,1,1
Tharuhat Joint Struggle Committee (TJSC)_South Asia,South Asia,2,2
The 78 Unemployed_Middle East & North Africa,Middle East & North Africa,0,1
The Association for Islamic Mobilisation and Propagation (UAMSHO)_Sub-Saharan Africa,Sub-Saharan Africa,4,4
The Black Sun_Eastern Europe,Eastern Europe,1,1
The Defense Command of the French People and the Motherland (CDPPF)_Western Europe,Western Europe,6,6
The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
The Husayn Ubayyat Martyrs' Brigades_Middle East & North Africa,Middle East & North Africa,1,1
The Independent Military Wing of the Syrian Revolution Abroad_Middle East & North Africa,Middle East & North Africa,1,1
The Inevitables_South America,South America,1,1
The Irish Volunteers_Western Europe,Western Europe,1,1
The Islamic Revolution to Liberate Palestine_Middle East & North Africa,Middle East & North Africa,1,1
The Jean Marc Rouillan Armed and Heartless Columns_South America,South America,1,1
The Joint Revolutionary Council_Sub-Saharan Africa,Sub-Saharan Africa,7,7
The Justice Department_Western Europe,Western Europe,1,1
The Justice Department_North America,North America,0,1
The Mujahadeen Room in Latakia Countryside_Middle East & North Africa,Middle East & North Africa,1,1
The Nation's Army_Middle East & North Africa,Middle East & North Africa,1,1
The New Irish Republican Army_Western Europe,Western Europe,24,44
The Nocturnals_Western Europe,Western Europe,1,1
The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA)_South Asia,South Asia,1,1
The Owners of the White Flags_Middle East & North Africa,Middle East & North Africa,1,1
The Revolt_Middle East & North Africa,Middle East & North Africa,3,3
The Third Way (Der III. Weg)_Western Europe,Western Europe,1,1
The United Revolutionary Front of Bhutan_South Asia,South Asia,2,2
The War That Was Never Declared_Western Europe,Western Europe,0,1
Tigray Peoples Liberation Front (TPLF)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Tiv Militia_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Tiwa Liberation Army_South Asia,South Asia,1,1
Torpedy Group_Eastern Europe,Eastern Europe,1,2
Tribal Group_Middle East & North Africa,Middle East & North Africa,1,1
Tribal Group_South Asia,South Asia,1,1
Tribal Revolutionary Army (TRA)_South Asia,South Asia,1,1
Tribesmen_Middle East & North Africa,Middle East & North Africa,89,94
Tribesmen_South Asia,South Asia,20,22
Tribesmen_Sub-Saharan Africa,Sub-Saharan Africa,16,16
Tripoli Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,308,350
Tripoli Revolutionaries Battalion_Middle East & North Africa,Middle East & North Africa,4,6
Tripura Group_South Asia,South Asia,1,1
Tritiya Prastuti Committee (TPC)_South Asia,South Asia,17,17
Tuareg extremists_Middle East & North Africa,Middle East & North Africa,1,1
Tuareg extremists_Sub-Saharan Africa,Sub-Saharan Africa,14,15
Tuareg Guerrillas_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Tupamaro Revolutionary Movement_South America,South America,0,1
Turkestan Islamic Party_Middle East & North Africa,Middle East & North Africa,2,2
Turkish Communist Party/Marxist (TKP-ML)_Middle East & North Africa,Middle East & North Africa,4,5
Turkish Hezbollah_Middle East & North Africa,Middle East & North Africa,4,4
Turkish radicals_Western Europe,Western Europe,0,1
Tutsi extremists_Sub-Saharan Africa,Sub-Saharan Africa,1,2
Twa Militia_Sub-Saharan Africa,Sub-Saharan Africa,4,4
U/I Liberian Gunmen_Sub-Saharan Africa,Sub-Saharan Africa,1,1
U/I Snipers_Middle East & North Africa,Middle East & North Africa,1,1
U/I Somali Militiamen_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Ukrainian Insurgent Army_Eastern Europe,Eastern Europe,2,2
Ukrainian nationalists_Eastern Europe,Eastern Europe,5,6
Ulster Freedom Fighters (UFF)_Western Europe,Western Europe,14,16
Ulster Volunteer Force (UVF)_Western Europe,Western Europe,16,16
Umar al-Mukhtar Martyr Forces_Middle East & North Africa,Middle East & North Africa,2,2
Umbane People's Liberation Army (Swaziland)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Unification Army Sons Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Unified Communist Party of Nepal (Maoist)_South Asia,South Asia,2,2
Union for Peace in Central Africa (UPC)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Union of Chadian Forces (UFNT)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Union of Congolese Patriots (UPC)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Union of Forces for Democracy and Development (UFDD)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Union of Patriots for the Defense of Innocents (UPDI)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Union of Peoples and Organizations of the State of Guerrero (UPOEG)_North America,North America,1,1
Union Parishad_South Asia,South Asia,1,1
United Achik Liberation Army (UALA)_South Asia,South Asia,3,3
United Achik National Front (UANF)_South Asia,South Asia,1,1
United Aryan Empire_North America,North America,1,1
United Baloch Army (UBA)_South Asia,South Asia,86,89
United Bengali Liberation Front (UBLF)_South Asia,South Asia,2,3
United Democratic Liberation Army (UDLA)_South Asia,South Asia,9,11
United Democratic Madhesi Front (UDMF)_South Asia,South Asia,14,15
United Democratic Terai Liberation Front (UDTLF)_South Asia,South Asia,1,1
United Front for Democracy Against Dictatorship_Southeast Asia,Southeast Asia,22,24
United Front for Democratic Change (FUC)_Sub-Saharan Africa,Sub-Saharan Africa,4,4
United Garo Security Force (UGSF)_South Asia,South Asia,1,1
United Gorkha People's Organization (UGPO)_South Asia,South Asia,1,1
United Janatantrik Terai Mukti Morcha (U-JTMM)_South Asia,South Asia,1,1
United Jihad Council_South Asia,South Asia,2,2
United Karbi Liberation Army (UKLA)_South Asia,South Asia,1,1
United Kuki Liberation Front (UKLF) - India_South Asia,South Asia,3,4
United Liberation Front of Assam (ULFA)_South Asia,South Asia,276,303
United Liberation Front of Barak Valley (ULFBV) - India_South Asia,South Asia,2,2
United National Liberation Front (UNLF)_South Asia,South Asia,28,29
United National Liberation Front (UNLF)_Southeast Asia,Southeast Asia,1,1
United National Liberation Front of WESEA (UNLFW)_South Asia,South Asia,1,1
United Party for National Development (UPND)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
United People's Democratic Front (UPDF) - Bangladesh_South Asia,South Asia,6,6
United People's Democratic Solidarity (UPDS)_South Asia,South Asia,6,7
United Reformation Protest of India_South Asia,South Asia,1,1
United Revolutionary Front_South Asia,South Asia,5,6
United Self Defense Units of Colombia (AUC)_South America,South America,61,64
United Tribal Liberation Army (UTLA)_South Asia,South Asia,3,3
Unknown_Middle East & North Africa,Middle East & North Africa,22222,25392
Unknown_South Asia,South Asia,15389,18663
Unknown_Sub-Saharan Africa,Sub-Saharan Africa,3427,3840
Unknown_Southeast Asia,Southeast Asia,4575,5165
Unknown_Eastern Europe,Eastern Europe,2110,2515
Unknown_South America,South America,401,451
Unknown_Western Europe,Western Europe,1214,1682
Unknown_North America,North America,222,262
Unknown_Australasia & Oceania,Australasia & Oceania,39,51
Unrepentant Anarchists_Western Europe,Western Europe,1,1
Unsubordinated Desires_Western Europe,Western Europe,0,1
Urban Guerrilla War_Western Europe,Western Europe,0,1
Urhobo Gbagbako_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Urhobo Revolutionary Army_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Vandalicia Teodoro Suarez_South America,South America,1,1
Vanguard of Red Youth (AKM)_Eastern Europe,Eastern Europe,0,1
Vanguards of the Caliphate_Middle East & North Africa,Middle East & North Africa,1,1
Veterans United for Non-Religious Memorials_North America,North America,1,2
Vetevendosje_Eastern Europe,Eastern Europe,1,1
Vigorous Burmese Student Warriors_Southeast Asia,Southeast Asia,1,1
Villagers_Southeast Asia,Southeast Asia,1,1
Villagers_North America,North America,1,1
Vishwa Hindu Parishad (VHP)_South Asia,South Asia,10,10
Volunteers of Innocent People of Nagas (VIPN)_South Asia,South Asia,1,1
Wahhabi Movement_Eastern Europe,Eastern Europe,1,1
Weichan Auka Mapu_South America,South America,8,8
West Indonesia Mujahideen_Southeast Asia,Southeast Asia,1,1
West Side Boys_Sub-Saharan Africa,Sub-Saharan Africa,1,1
White extremists_Western Europe,Western Europe,5,5
White extremists_North America,North America,17,18
White Legion (Ecuador)_South America,South America,1,1
White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia_North America,North America,1,2
Wild Freedom_Western Europe,Western Europe,1,1
Wild Individualities_Western Europe,Western Europe,6,6
Yakariya Bango Insurgent Group_Southeast Asia,Southeast Asia,1,2
Yarmouk Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,2,2
Yazidi extremists_Western Europe,Western Europe,1,1
Yemenis_Middle East & North Africa,Middle East & North Africa,2,2
Yimchunger Liberation Front (YLF)_South Asia,South Asia,1,1
Young Communist League_South Asia,South Asia,13,18
Young Liberators of Pattani_Southeast Asia,Southeast Asia,1,1
Young Officer Union of the New Generation and Reformist Armed Forces of the Philippines (YOU-RAFP)_Southeast Asia,Southeast Asia,1,1
Youth Movement for the Total Liberation of Azawad_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Youth of the Land of Egypt_Middle East & North Africa,Middle East & North Africa,1,1
Youths_South Asia,South Asia,1,2
Youths_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Youths_Western Europe,Western Europe,6,6
Zagros Eagles_Middle East & North Africa,Middle East & North Africa,1,1
Zapatista National Liberation Army_North America,North America,1,1
Zawiya Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Zehri Youth Force (ZYF)_South Asia,South Asia,1,1
Zeliangrong United Front_South Asia,South Asia,15,17
Zemun Clan_Eastern Europe,Eastern Europe,1,1
Zero Tolerance_Western Europe,Western Europe,5,5
Zetas_North America,North America,2,2
Zimbabwe African Nationalist Union (ZANU)_Sub-Saharan Africa,Sub-Saharan Africa,8,8
Zintani Militia_Middle East & North Africa,Middle East & North Africa,1,1
Zomi Revolutionary Army (ZRA)_South Asia,South Asia,2,2
Zuwar al-Imam Rida_Middle East & North Africa,Middle East & North Africa,1,1
Zwai Tribe_Middle East & North Africa,Middle East & North Africa,1,1
43354_Australasia & Oceania,Australasia & Oceania,0,4
